Exported from VCWPD Hydrologic Data Server
Requested: 04/24/2020 00:17:19
Requested daily rainfall totals for station: 508
Data Period: 2017-10-01 00:00 to 2018-10-01 00:00
Site Id: 508
Station Name: Moorpark - Home Acres ALERT (Type B)
Latitude: 34° 16' 16.6" N
Longitude: 118° 55' 29.4" W
Elevation (ft): 400
Station Type: Non-Standard Recorder
VCWPD Zone: Zone 3 (Calleguas Creek)
NCDC Station Id: None

24 Hour Total Ending At,Rainfall (in),Code,Quality Code,Publish
03/12/2018 08:00,0,,2,P
03/13/2018 08:00,0,,2,P
03/14/2018 08:00,0.196,,2,P
03/15/2018 08:00,0.512,,2,P
03/16/2018 08:00,0,,2,P
03/17/2018 08:00,0.276,,2,P
03/18/2018 08:00,0,,2,P
03/19/2018 08:00,0,,2,P
03/20/2018 08:00,0,,2,P
03/21/2018 08:00,0.354,,2,P
03/22/2018 08:00,1.772,,1,P
03/23/2018 08:00,1.023,,2,P
03/24/2018 08:00,0,,2,P
03/25/2018 08:00,0,,2,P
03/26/2018 08:00,0,,2,P
03/27/2018 08:00,0,,2,P
03/28/2018 08:00,0,,2,P
03/29/2018 08:00,0,,2,P
03/30/2018 08:00,0,,2,P
03/31/2018 08:00,0,,2,P
04/01/2018 08:00,0,,2,P
04/02/2018 08:00,0,,2,P
04/03/2018 08:00,0,,2,P
04/04/2018 08:00,0,,2,P
04/05/2018 08:00,0,,2,P
04/06/2018 08:00,0,,2,P
04/07/2018 08:00,0,,2,P
04/08/2018 08:00,0,,2,P
04/09/2018 08:00,0,,2,P
04/10/2018 08:00,0,,2,P
04/11/2018 08:00,0,,2,P
04/12/2018 08:00,0,,2,P
04/13/2018 08:00,0,,2,P
04/14/2018 08:00,0,,2,P
04/15/2018 08:00,0,,2,P
04/16/2018 08:00,0,,2,P
04/17/2018 08:00,0,,2,P
04/18/2018 08:00,0,,2,P
04/19/2018 08:00,0,,2,P
04/20/2018 08:00,0,,2,P
04/21/2018 08:00,0,,2,P
04/22/2018 08:00,0,,2,P
04/23/2018 08:00,0,,2,P
04/24/2018 08:00,0,,2,P
04/25/2018 08:00,0,,2,P
04/26/2018 08:00,0,,2,P
04/27/2018 08:00,0,,2,P
04/28/2018 08:00,0,,2,P
04/29/2018 08:00,0,,2,P
04/30/2018 08:00,0,,2,P
05/01/2018 08:00,0,,2,P
05/02/2018 08:00,0.04,,2,P
05/03/2018 08:00,0,,2,P
05/04/2018 08:00,0,,2,P
05/05/2018 08:00,0,,2,P
05/06/2018 08:00,0,,2,P
05/07/2018 08:00,0,,2,P
05/08/2018 08:00,0,,2,P
05/09/2018 08:00,0,,2,P
05/10/2018 08:00,0,,2,P
