DRY-UNI4,2013-DRY,Dry,8/13/2013 12:00:00 PM,8/28/2013 1:42:00 PM,Total Organic Carbon,n/a,=,16,mg/L,SM 5310 C,0.09,3,WKL
DRY-UNI4,2013-DRY,Dry,8/13/2013 12:00:00 PM,8/13/2013 12:00:00 PM,Turbidity,n/a,=,3.35,NTU,Field Meter,-88,0.01,Field
DRY-UNI4,2013-DRY,Dry,8/13/2013 12:00:00 PM,8/24/2013 12:42:00 AM,Copper,Dissolved,=,7.4,µg/L,EPA 200.8,0.036,0.5,WKL
DRY-UNI4,2013-DRY,Dry,8/13/2013 12:00:00 PM,8/24/2013 12:42:00 AM,Lead,Dissolved,<,0.024,µg/L,EPA 200.8,0.024,0.2,WKL
DRY-UNI4,2013-DRY,Dry,8/13/2013 12:00:00 PM,8/24/2013 12:42:00 AM,Zinc,Dissolved,DNQ,3.8,µg/L,EPA 200.8,0.5,5,WKL
ME-CC,2012/13-2,Wet,11/17/2012 11:05:00 AM,11/18/2012 7:56:00 AM,E. Coli,n/a,=,11199,MPN/100 mL,MMO-MUG,10,10,VCHCA
ME-CC,2012/13-2,Wet,11/17/2012 11:05:00 AM,11/18/2012 1:14:00 PM,Enterococcus,n/a,=,5794,MPN/100 mL,Enterolert,10,10,VCHCA
ME-CC,2012/13-2,Wet,11/17/2012 11:05:00 AM,11/21/2012 1:08:00 PM,Fecal Coliform,n/a,=,16000,MPN/100 mL,SM 9221 E,2,2,VCHCA
ME-CC,2012/13-2,Wet,11/17/2012 11:05:00 AM,11/18/2012 7:56:00 AM,Total Coliform,n/a,=,260200,MPN/100 mL,MMO-MUG,1000,1000,VCHCA
ME-CC,2012/13-2,Wet,11/17/2012 11:05:00 AM,11/17/2012 11:05:00 AM,Conductivity,n/a,=,1095,µmhos/cm,Field Meter,-88,1,Field
ME-CC,2012/13-2,Wet,11/17/2012 11:05:00 AM,12/6/2012 9:26:00 PM,Cyanide,Total,<,0.0027,mg/L,EPA 335.4,0.0027,0.005,WKL
ME-CC,2012/13-2,Wet,11/17/2012 11:05:00 AM,11/17/2012 11:05:00 AM,DO,n/a,=,7.35,mg/L,Field Meter,-88,0.3,Field
ME-CC,2012/13-2,Wet,11/17/2012 11:05:00 AM,11/17/2012 11:05:00 AM,DO,n/a,=,77.9,%,Field Meter,-88,0.1,Field
ME-CC,2012/13-2,Wet,11/17/2012 11:05:00 AM,11/17/2012 11:05:00 AM,pH,n/a,=,7.51,pH Units,Field Meter,-88,0.01,Field
ME-CC,2012/13-2,Wet,11/17/2012 11:05:00 AM,11/17/2012 11:05:00 AM,Salinity,n/a,=,500,mg/L,Field Meter,-88,100,Field
ME-CC,2012/13-2,Wet,11/17/2012 11:05:00 AM,11/17/2012 11:05:00 AM,Specific Conductance,n/a,=,1167,µmhos/cm,Field Meter,-88,1,Field
ME-CC,2012/13-2,Wet,11/17/2012 11:05:00 AM,11/17/2012 11:05:00 AM,Temperature,n/a,=,17.7,°C,Field Meter,-88,0.1,Field
ME-CC,2012/13-2,Wet,11/17/2012 11:05:00 AM,11/27/2012 4:55:00 PM,Oil and Grease,n/a,<,1.3,mg/L,EPA 1664A,1.3,5,WKL
ME-CC,2012/13-2,Wet,11/17/2012 11:05:00 AM,11/27/2012 4:55:00 PM,TPH,n/a,<,1.9,mg/L,EPA 1664A,1.9,5,WKL
ME-CC,2012/13-2,Wet,11/17/2012 11:05:00 AM,11/27/2012 4:02:00 PM,2-Chloroethyl vinyl ether,n/a,<,0.61,µg/L,EPA 524.2,0.61,1,WKL
ME-CC,2012/13-2,Wet,11/17/2012 11:05:00 AM,11/27/2012 4:02:00 PM,Methyl tert-butyl ether (MTBE),n/a,<,0.19,µg/L,EPA 524.2,0.19,2,WKL
