Program|ParentProject|Project|StationName|StationCode|SampleDate|CollectionTime|LocationCode|CollectionDepth|UnitCollectionDepth|SampleTypeCode|CollectionReplicate|ResultsReplicate|LabBatch|LabSampleID|MatrixName|MethodName|Analyte|Unit|Result|Observation|MDL|RL|ResultQualCode|QACode|BatchVerification|ComplianceCode|SampleComments|CollectionComments|ResultsComments|BatchComments|EventCode|ProtocolCode|SampleAgency|GroupSamples|CollectionMethodName|TargetLatitude|TargetLongitude|CollectionDeviceDescription|CalibrationDate|PositionWaterColumn|PrepPreservationName|PrepPreservationDate|DigestExtractMethod|DigestExtractDate|AnalysisDate|DilutionFactor|ExpectedValue|LabAgency|SubmittingAgency|SubmissionCode|OccupationMethod|StartingBank|DistanceFromBank|UnitDistanceFromBank|StreamWidth|UnitStreamWidth|StationWaterDepth|UnitStationWaterDepth|HydroMod|HydroModLoc|LocationDetailWQComments|ChannelWidth|UpstreamLength|DownstreamLength|TotalReach|LocationDetailBAComments|county|county_fips|regional_board|rb_number|huc8|huc8_number|huc10|huc10_number|huc12|huc12_number|waterbody_type|SampleID
Surface Water Ambient Monitoring Program|SWAMP RWB2 Monitoring|RWB2 Petaluma R Nutrient Pathogen TMDL Study 2018|Petaluma River - Petaluma Village Premium Outlet Mall, just downstream of bridge leading into mall|206PET310|2018-02-21|11:40:00|Bank|0.1|m|Not Recorded|1|1|||samplewater|FieldMeasure|Salinity, Total|ppt|0.51||||=|None|VAC|Com|Tidal site||||WQ|MPSL-DFW_Field_v1.1|RWQCB2||Field Method|38.255779|-122.651168823242|YSI Professional Plus|2018-02-20|Subsurface||0000-00-00 00:00:00||0000-00-00|0000-00-00||||||Walk In|LB|0|m|2|m||m|Bridge|US|||||||Sonoma|97|San Francisco Bay|2|||||Petaluma River|180500020601|NULL|
Surface Water Ambient Monitoring Program|SWAMP RWB2 Monitoring|RWB2 Petaluma R Nutrient Pathogen TMDL Study 2018|Petaluma River - 100m upstream of Payran St bridge|206PET260|2018-02-21|11:25:00|Bank|0.1|m|Grab|1|1|CELA_S18083C_W_BAC|6575-05|samplewater|EPA 1600|Enterococcus|cfu/100mL|948||1|1|=|VQCP|VAC,VMD|Qual|Tidal site|||QA/DM: batch missing lab dups for precision|WQ|MPSL-DFW_Field_v1.1|RWQCB2||Water_Grab|38.246231|-122.637992858887|Individual Collection by hand|0000-00-00|Subsurface|FieldDechlorination|2018-02-21 11:25:00|None|1950-01-01|2018-02-21|1||CELA|CELA|A|Walk In|LB|0|m|3|m|1|m|Bridge|DS|||||||Sonoma|97|San Francisco Bay|2|||||Petaluma River|180500020601|NULL|206PET260W2
Surface Water Ambient Monitoring Program|SWAMP RWB2 Monitoring|RWB2 Petaluma R Nutrient Pathogen TMDL Study 2018|Petaluma River - Petaluma Village Premium Outlet Mall, just downstream of bridge leading into mall|206PET310|2018-02-21|11:40:00|Bank|0.1|m|Grab|1|1|CELA_S18083C_W_BAC|6575-06|samplewater|EPA 1600|Enterococcus|cfu/100mL|88||1|1|=|VQCP|VAC,VMD|Qual|Tidal site|||QA/DM: batch missing lab dups for precision|WQ|MPSL-DFW_Field_v1.1|RWQCB2||Water_Grab|38.255779|-122.651168823242|Individual Collection by hand|0000-00-00|Subsurface|FieldDechlorination|2018-02-21 11:40:00|None|1950-01-01|2018-02-21|1||CELA|CELA|A|Walk In|LB|0|m|2|m||m|Bridge|US|||||||Sonoma|97|San Francisco Bay|2|||||Petaluma River|180500020601|NULL|206PET310W2
Surface Water Ambient Monitoring Program|SWAMP RWB2 Monitoring|RWB2 Petaluma R Nutrient Pathogen TMDL Study 2018|Petaluma River - 100m downstream of confluence with Adobe Creek|206PET098|2018-02-21|10:25:00|Midchannel|0.1|m|Grab|1|1|CELA_S18083C_W_BAC|6575-03|samplewater|EPA 1600|Enterococcus|cfu/100mL|20||1|1|=|VQCP|VAC,VMD|Qual|Water too low for sonde readings. Tidal site.|||QA/DM: batch missing lab dups for precision|WQ|MPSL-DFW_Field_v1.1|RWQCB2||Water_Grab|38.223164|-122.605186462402|Not Recorded|0000-00-00|Not Applicable|FieldDechlorination|2018-02-21 10:25:00|None|1950-01-01|2018-02-21|1||CELA|CELA|A|||||||||||||||||Sonoma|97|San Francisco Bay|2|||||San Pablo Bay Estuaries|180500020801|NULL|206PET098W2
Surface Water Ambient Monitoring Program|SWAMP RWB2 Monitoring|RWB2 Petaluma R Nutrient Pathogen TMDL Study 2018|Petaluma River - 7.2 mi upstream of Hwy 37 bridge. Papa's Taverna on Lakeville Hwy|206PET007|2018-02-21|09:47:00|Bank|0.1|m|Grab|1|1|CELA_S18083C_W_BAC|6575-02|samplewater|EPA 1600|Enterococcus|cfu/100mL|24||1|1|=|VQCP|VAC,VMD|Qual|Tidal site. Field dup collected on rep 2.|||QA/DM: batch missing lab dups for precision|WQ|MPSL-DFW_Field_v1.1|RWQCB2||Water_Grab|38.197109|-122.547630310059|Individual Collection by hand|0000-00-00|Subsurface|FieldDechlorination|2018-02-21 09:47:00|None|1950-01-01|2018-02-21|1||CELA|CELA|A|Walk In|LB|0|m|50|m||m|Pier|NR|||||||Sonoma|97|San Francisco Bay|2|||||San Pablo Bay Estuaries|180500020801|NULL|206PET007W2
Surface Water Ambient Monitoring Program|SWAMP RWB2 Monitoring|RWB2 Petaluma R Nutrient Pathogen TMDL Study 2018|Petaluma River - Just upstream of E. Washington St bridge|206PET205|2018-02-21|11:00:00|Midchannel|0.1|m|Grab|1|1|CELA_S18083C_W_BAC|6575-04|samplewater|EPA 1600|Enterococcus|cfu/100mL|418||1|1|=|VQCP|VAC,VMD|Qual|Tidal site|||QA/DM: batch missing lab dups for precision|WQ|MPSL-DFW_Field_v1.1|RWQCB2||Water_Grab|38.236156|-122.640365600586|RWQCB2 L_Bracket|0000-00-00|Subsurface|FieldDechlorination|2018-02-21 11:00:00|None|1950-01-01|2018-02-21|1||CELA|CELA|A|From Bridge|RB|1.5|m|3|m|1|m|Bridge|NA|||||||Sonoma|97|San Francisco Bay|2|||||San Pablo Bay Estuaries|180500020801|NULL|206PET205W2
Surface Water Ambient Monitoring Program|SWAMP RWB2 Monitoring|RWB2 Petaluma R Nutrient Pathogen TMDL Study 2018|Petaluma River - 100m downstream of confluence with Adobe Creek|206PET098|2018-02-28|10:20:00|Midchannel|0.1|m|Not Recorded|1|1|||samplewater|FieldMeasure|Salinity, Total|ppt|10.82||||=|None|VAC|Com|Tidal site||||WQ|MPSL-DFW_Field_v1.1|RWQCB2||Field Method|38.223164|-122.605186462402|Not Recorded|1950-01-01|Subsurface||0000-00-00 00:00:00||0000-00-00|0000-00-00||||||Walk In|LB|2|m|50|m||m|Pier|WI|||||||Sonoma|97|San Francisco Bay|2|||||San Pablo Bay Estuaries|180500020801|NULL|
Surface Water Ambient Monitoring Program|SWAMP RWB2 Monitoring|RWB2 Petaluma R Nutrient Pathogen TMDL Study 2018|Petaluma River - Petaluma Village Premium Outlet Mall, just downstream of bridge leading into mall|206PET310|2018-02-28|11:25:00|Bank|0.1|m|Not Recorded|1|1|||samplewater|FieldMeasure|Salinity, Total|ppt|0.66||||=|None|VAC|Com|Tidal site||||WQ|MPSL-DFW_Field_v1.1|RWQCB2||Field Method|38.255779|-122.651168823242|Not Recorded|1950-01-01|Subsurface||0000-00-00 00:00:00||0000-00-00|0000-00-00||||||Walk In|RB|0|m|3|m||m|Bridge|DS|||||||Sonoma|97|San Francisco Bay|2|||||Petaluma River|180500020601|NULL|
Surface Water Ambient Monitoring Program|SWAMP RWB2 Monitoring|RWB2 Petaluma R Nutrient Pathogen TMDL Study 2018|Petaluma River - 7.2 mi upstream of Hwy 37 bridge. Papa's Taverna on Lakeville Hwy|206PET007|2018-02-28|09:45:00|Bank|0.1|m|Not Recorded|1|1|||samplewater|FieldMeasure|Salinity, Total|ppt|15.5||||=|None|VAC|Com|Field dup collected on rep 2. Tidal site.||||WQ|MPSL-DFW_Field_v1.1|RWQCB2||Field Method|38.197109|-122.547630310059|Not Recorded|1950-01-01|Subsurface||0000-00-00 00:00:00||0000-00-00|0000-00-00||||||Walk In|LB|3|m|70|m||m|Pier|WI|||||||Sonoma|97|San Francisco Bay|2|||||San Pablo Bay Estuaries|180500020801|NULL|
Surface Water Ambient Monitoring Program|SWAMP RWB2 Monitoring|RWB2 Petaluma R Nutrient Pathogen TMDL Study 2018|Petaluma River - 100m upstream of Payran St bridge|206PET260|2018-02-28|11:10:00|Bank|0.1|m|Not Recorded|1|1|||samplewater|FieldMeasure|Salinity, Total|ppt|7.31||||=|None|VAC|Com|Tidal site||||WQ|MPSL-DFW_Field_v1.1|RWQCB2||Field Method|38.246231|-122.637992858887|Not Recorded|1950-01-01|Subsurface||0000-00-00 00:00:00||0000-00-00|0000-00-00||||||Walk In|NR|0|m|30|m||m|Bridge|DS|||||||Sonoma|97|San Francisco Bay|2|||||Petaluma River|180500020601|NULL|
