Program|ParentProject|Project|StationName|StationCode|SampleDate|CollectionTime|LocationCode|CollectionDepth|UnitCollectionDepth|SampleTypeCode|CollectionReplicate|ResultsReplicate|LabBatch|LabSampleID|MatrixName|MethodName|Analyte|Unit|Result|Observation|MDL|RL|ResultQualCode|QACode|BatchVerification|ComplianceCode|SampleComments|CollectionComments|ResultsComments|BatchComments|EventCode|ProtocolCode|SampleAgency|GroupSamples|CollectionMethodName|TargetLatitude|TargetLongitude|CollectionDeviceDescription|CalibrationDate|PositionWaterColumn|PrepPreservationName|PrepPreservationDate|DigestExtractMethod|DigestExtractDate|AnalysisDate|DilutionFactor|ExpectedValue|LabAgency|SubmittingAgency|SubmissionCode|OccupationMethod|StartingBank|DistanceFromBank|UnitDistanceFromBank|StreamWidth|UnitStreamWidth|StationWaterDepth|UnitStationWaterDepth|HydroMod|HydroModLoc|LocationDetailWQComments|ChannelWidth|UpstreamLength|DownstreamLength|TotalReach|LocationDetailBAComments|county|county_fips|regional_board|rb_number|huc8|huc8_number|huc10|huc10_number|huc12|huc12_number|waterbody_type|SampleID
Clean Streams in S. SoCo Pathogen Source Detection Monitoring Program|Clean Streams in S. SoCo Pathogen Source Detection|Clean Streams S. SoCo Pathogens 2017-18 wet season|Sonoma Creek at 3910 Warm Springs Road, Glen Ellen 95442|206SON180|2018-04-03|10:37:00|Bank|0.1|m|Not Recorded|1|1|||samplewater|FieldMeasure|pH|none|8.26||||=|None|NR|Com|||||WQ|USGS_NatFieldMan|SCPRMD||Field Method|38.370338|-122.539505004883|YSI ProPlus|2018-04-03|Subsurface||0000-00-00 00:00:00||0000-00-00|0000-00-00||||||||||||||||||||||Sonoma|97|San Francisco Bay|2|||||||NULL|
Clean Streams in S. SoCo Pathogen Source Detection Monitoring Program|Clean Streams in S. SoCo Pathogen Source Detection|Clean Streams S. SoCo Pathogens 2017-18 wet season|Sonoma Creek at 3910 Warm Springs Road, Glen Ellen 95442|206SON180|2018-04-03|10:37:00|Bank|0.1|m|Not Recorded|1|1|||samplewater|FieldMeasure|Temperature|Deg C|12.6||||=|None|NR|Com|||||WQ|USGS_NatFieldMan|SCPRMD||Field Method|38.370338|-122.539505004883|YSI ProPlus|1950-01-01|Subsurface||0000-00-00 00:00:00||0000-00-00|0000-00-00||||||||||||||||||||||Sonoma|97|San Francisco Bay|2|||||||NULL|
Clean Streams in S. SoCo Pathogen Source Detection Monitoring Program|Clean Streams in S. SoCo Pathogen Source Detection|Clean Streams S. SoCo Pathogens 2017-18 wet season|Sonoma Creek at 3910 Warm Springs Road, Glen Ellen 95442|206SON180|2018-04-03|10:37:00|Bank|0.1|m|Not Recorded|1|1|||samplewater|FieldMeasure|Total Dissolved Solids, Total|g/L|0.2145||||=|None|NR|Com|||||WQ|USGS_NatFieldMan|SCPRMD||Field Method|38.370338|-122.539505004883|YSI ProPlus|1950-01-01|Subsurface||0000-00-00 00:00:00||0000-00-00|0000-00-00||||||||||||||||||||||Sonoma|97|San Francisco Bay|2|||||||NULL|
Clean Streams in S. SoCo Pathogen Source Detection Monitoring Program|Clean Streams in S. SoCo Pathogen Source Detection|Clean Streams S. SoCo Pathogens 2017-18 wet season|Sonoma Creek at 986 Warm Springs Road|206SON210|2018-04-03|10:09:00|Bank|0.1|m|Not Recorded|1|1|||samplewater|FieldMeasure|Oxygen, Dissolved, Total|mg/L|10.89||||=|None|NR|Com|||||WQ|USGS_NatFieldMan|SCPRMD||Field Method|38.404919|-122.550971984863|YSI ProPlus|2018-04-03|Subsurface||0000-00-00 00:00:00||0000-00-00|0000-00-00||||||||||||||||||||||Sonoma|97|San Francisco Bay|2|||||||NULL|
Clean Streams in S. SoCo Pathogen Source Detection Monitoring Program|Clean Streams in S. SoCo Pathogen Source Detection|Clean Streams S. SoCo Pathogens 2017-18 wet season|Sonoma Creek at Aqua Caliente|206SON011|2018-04-03|11:34:00|Bank|0.1|m|Not Recorded|1|1|||samplewater|FieldMeasure|Oxygen, Dissolved, Total|mg/L|10.76||||=|None|NR|Com|||||WQ|USGS_NatFieldMan|SCPRMD||Field Method|38.322876|-122.494567871094|YSI ProPlus|2018-04-03|Subsurface||0000-00-00 00:00:00||0000-00-00|0000-00-00||||||||||||||||||||||Sonoma|97|San Francisco Bay|2|||||||NULL|
Clean Streams in S. SoCo Pathogen Source Detection Monitoring Program|Clean Streams in S. SoCo Pathogen Source Detection|Clean Streams S. SoCo Pathogens 2017-18 wet season|Sonoma Creek at Aqua Caliente|206SON011|2018-04-03|11:34:00|Bank|0.1|m|Not Recorded|1|1|||samplewater|FieldMeasure|pH|none|8.17||||=|None|NR|Com|||||WQ|USGS_NatFieldMan|SCPRMD||Field Method|38.322876|-122.494567871094|YSI ProPlus|2018-04-03|Subsurface||0000-00-00 00:00:00||0000-00-00|0000-00-00||||||||||||||||||||||Sonoma|97|San Francisco Bay|2|||||||NULL|
Clean Streams in S. SoCo Pathogen Source Detection Monitoring Program|Clean Streams in S. SoCo Pathogen Source Detection|Clean Streams S. SoCo Pathogens 2017-18 wet season|Sonoma Creek at Aqua Caliente|206SON011|2018-04-03|11:34:00|Bank|0.1|m|Not Recorded|1|1|||samplewater|FieldMeasure|Total Dissolved Solids, Total|g/L|0.1892||||=|None|NR|Com|||||WQ|USGS_NatFieldMan|SCPRMD||Field Method|38.322876|-122.494567871094|YSI ProPlus|1950-01-01|Subsurface||0000-00-00 00:00:00||0000-00-00|0000-00-00||||||||||||||||||||||Sonoma|97|San Francisco Bay|2|||||||NULL|
Clean Streams in S. SoCo Pathogen Source Detection Monitoring Program|Clean Streams in S. SoCo Pathogen Source Detection|Clean Streams S. SoCo Pathogens 2017-18 wet season|Sonoma Creek at Cypress Ave|206SONCYP|2018-04-03|09:55:00|Bank|0.1|m|Not Recorded|1|1|||samplewater|FieldMeasure|Oxygen, Dissolved, Total|mg/L|10.58||||=|None|NR|Com|||||WQ|USGS_NatFieldMan|SCPRMD||Field Method|38.412170|-122.553718566895|YSI ProPlus|2018-04-03|Subsurface||0000-00-00 00:00:00||0000-00-00|0000-00-00||||||||||||||||||||||Sonoma|97|San Francisco Bay|2|||||||NULL|
Clean Streams in S. SoCo Pathogen Source Detection Monitoring Program|Clean Streams in S. SoCo Pathogen Source Detection|Clean Streams S. SoCo Pathogens 2017-18 wet season|Sonoma Creek at Cypress Ave|206SONCYP|2018-04-03|09:55:00|Bank|0.1|m|Not Recorded|1|1|||samplewater|FieldMeasure|SpecificConductivity, Total|uS/cm|364.2||||=|None|NR|Com|||||WQ|USGS_NatFieldMan|SCPRMD||Field Method|38.412170|-122.553718566895|YSI ProPlus|2018-04-03|Subsurface||0000-00-00 00:00:00||0000-00-00|0000-00-00||||||||||||||||||||||Sonoma|97|San Francisco Bay|2|||||||NULL|
Clean Streams in S. SoCo Pathogen Source Detection Monitoring Program|Clean Streams in S. SoCo Pathogen Source Detection|Clean Streams S. SoCo Pathogens 2017-18 wet season|Sonoma Creek at Glen Allen|206SON160|2018-04-03|10:55:00|Bank|-88|m|Not Recorded|1|1|||air|FieldMeasure|Temperature|Deg C|17||||=|None|NR|Com|||||WQ|USGS_NatFieldMan|SCPRMD||Field Method|38.363762|-122.526168823242|Thermco Digital Field ThermoJack Thermometer|1950-01-01|Not Applicable||0000-00-00 00:00:00||0000-00-00|0000-00-00||||||||||||||||||||||Sonoma|97|San Francisco Bay|2|||||||NULL|
Clean Streams in S. SoCo Pathogen Source Detection Monitoring Program|Clean Streams in S. SoCo Pathogen Source Detection|Clean Streams S. SoCo Pathogens 2017-18 wet season|Sonoma Creek at Glen Allen|206SON160|2018-04-03|10:55:00|Bank|0.1|m|Not Recorded|1|1|||samplewater|FieldMeasure|Oxygen, Dissolved, Total|mg/L|10.76||||=|None|NR|Com|||||WQ|USGS_NatFieldMan|SCPRMD||Field Method|38.363762|-122.526168823242|YSI ProPlus|2018-04-03|Subsurface||0000-00-00 00:00:00||0000-00-00|0000-00-00||||||||||||||||||||||Sonoma|97|San Francisco Bay|2|||||||NULL|
Clean Streams in S. SoCo Pathogen Source Detection Monitoring Program|Clean Streams in S. SoCo Pathogen Source Detection|Clean Streams S. SoCo Pathogens 2017-18 wet season|Sonoma Creek at Maxwell Park|206SON050|2018-04-03|11:50:00|Bank|0.1|m|Not Recorded|1|1|||samplewater|FieldMeasure|Temperature|Deg C|14.6||||=|None|NR|Com|||||WQ|USGS_NatFieldMan|SCPRMD||Field Method|38.298401|-122.481201171875|YSI ProPlus|1950-01-01|Subsurface||0000-00-00 00:00:00||0000-00-00|0000-00-00||||||||||||||||||||||Sonoma|97|San Francisco Bay|2|||||||NULL|
Clean Streams in S. SoCo Pathogen Source Detection Monitoring Program|Clean Streams in S. SoCo Pathogen Source Detection|Clean Streams S. SoCo Pathogens 2017-18 wet season|Sonoma Creek at USGS Gage 11458433|206SON32b|2018-04-03|09:32:00|Bank|-88|m|Not Recorded|1|1|||air|FieldMeasure|Temperature|Deg C|14||||=|None|NR|Com|||||WQ|USGS_NatFieldMan|SCPRMD||Field Method|38.419582|-122.564102172852|Thermco Digital Field ThermoJack Thermometer|1950-01-01|Not Applicable||0000-00-00 00:00:00||0000-00-00|0000-00-00||||||||||||||||||||||Sonoma|97|San Francisco Bay|2|||||||NULL|
Clean Streams in S. SoCo Pathogen Source Detection Monitoring Program|Clean Streams in S. SoCo Pathogen Source Detection|Clean Streams S. SoCo Pathogens 2017-18 wet season|Sonoma Creek at Yulupa Creek|206SON190|2018-04-03|10:24:00|Bank|-88|m|Not Recorded|1|1|||air|FieldMeasure|Temperature|Deg C|15||||=|None|NR|Com|||||WQ|USGS_NatFieldMan|SCPRMD||Field Method|38.379192|-122.552688598633|Thermco Digital Field ThermoJack Thermometer|1950-01-01|Not Applicable||0000-00-00 00:00:00||0000-00-00|0000-00-00||||||||||||||||||||||Sonoma|97|San Francisco Bay|2|||||||NULL|
Clean Streams in S. SoCo Pathogen Source Detection Monitoring Program|Clean Streams in S. SoCo Pathogen Source Detection|Clean Streams S. SoCo Pathogens 2017-18 wet season|Sonoma Creek at Yulupa Creek|206SON190|2018-04-03|10:24:00|Bank|0.1|m|Not Recorded|1|1|||samplewater|FieldMeasure|pH|none|8.21||||=|None|NR|Com|||||WQ|USGS_NatFieldMan|SCPRMD||Field Method|38.379192|-122.552688598633|YSI ProPlus|2018-04-03|Subsurface||0000-00-00 00:00:00||0000-00-00|0000-00-00||||||||||||||||||||||Sonoma|97|San Francisco Bay|2|||||||NULL|
Clean Streams in S. SoCo Pathogen Source Detection Monitoring Program|Clean Streams in S. SoCo Pathogen Source Detection|Clean Streams S. SoCo Pathogens 2017-18 wet season|Sonoma Creek at Yulupa Creek|206SON190|2018-04-03|10:24:00|Bank|0.1|m|Not Recorded|1|1|||samplewater|FieldMeasure|Total Dissolved Solids, Total|g/L|0.2236||||=|None|NR|Com|||||WQ|USGS_NatFieldMan|SCPRMD||Field Method|38.379192|-122.552688598633|YSI ProPlus|1950-01-01|Subsurface||0000-00-00 00:00:00||0000-00-00|0000-00-00||||||||||||||||||||||Sonoma|97|San Francisco Bay|2|||||||NULL|
Clean Streams in S. SoCo Pathogen Source Detection Monitoring Program|Clean Streams in S. SoCo Pathogen Source Detection|Clean Streams S. SoCo Pathogens 2017-18 wet season|Nathanson Creek at Nathanson Park|206NAT030|2018-04-03|12:53:00|Bank|0.1|m|Grab|1|1|Caltest_BML14619_W_BAC|T040020013|samplewater|SM 9223 B|Coliform, Total|MPN/100 mL|2419.6||1|1|>|None|NR|NR|||||WQ|USGS_NatFieldMan|SCPRMD||Water_Grab|38.278599|-122.457481384277|Individual Collection by hand|0000-00-00|Not Applicable|FieldAcidified|2018-04-03 12:53:00|None|1950-01-01|2018-04-03|1||CALTEST|CALTEST|A|||||||||||||||||Sonoma|97|San Francisco Bay|2|||||||NULL|206NAT030
Clean Streams in S. SoCo Pathogen Source Detection Monitoring Program|Clean Streams in S. SoCo Pathogen Source Detection|Clean Streams S. SoCo Pathogens 2017-18 wet season|Sonoma Creek @ Watmaugh Road Bridge|206SON020|2018-04-03|12:08:00|Bank|0.1|m|Grab|1|1|Caltest_BML14619_W_BAC|T040020010|samplewater|SM 9223 B|Coliform, Total|MPN/100 mL|1986.3||1|1|=|None|NR|NR|||||WQ|USGS_NatFieldMan|SCPRMD||Water_Grab|38.265751|-122.46736907959|Individual Collection by hand|0000-00-00|Not Applicable|FieldAcidified|2018-04-03 12:08:00|None|1950-01-01|2018-04-03|1||CALTEST|CALTEST|A|||||||||||||||||Sonoma|97|San Francisco Bay|2|||||Lower Sonoma Creek|180500020303|NULL|206SON020
Clean Streams in S. SoCo Pathogen Source Detection Monitoring Program|Clean Streams in S. SoCo Pathogen Source Detection|Clean Streams S. SoCo Pathogens 2017-18 wet season|Sonoma Creek at 986 Warm Springs Road|206SON210|2018-04-03|10:07:00|Bank|0.1|m|Grab|1|1|Caltest_BML14619_W_BAC|T040020003|samplewater|SM 9223 B|E. coli|MPN/100 mL|129.6||1|1|=|None|NR|NR|||||WQ|USGS_NatFieldMan|SCPRMD||Water_Grab|38.404919|-122.550971984863|Individual Collection by hand|0000-00-00|Not Applicable|FieldAcidified|2018-04-03 10:07:00|None|1950-01-01|2018-04-03|1||CALTEST|CALTEST|A|||||||||||||||||Sonoma|97|San Francisco Bay|2|||||||NULL|206SON210
Clean Streams in S. SoCo Pathogen Source Detection Monitoring Program|Clean Streams in S. SoCo Pathogen Source Detection|Clean Streams S. SoCo Pathogens 2017-18 wet season|Sonoma Creek at USGS Gage 11458433|206SON32b|2018-04-03|09:31:00|Bank|0.1|m|Grab|1|1|Caltest_BML14619_W_BAC|T040020001|samplewater|SM 9223 B|Coliform, Total|MPN/100 mL|2419.6||1|1|>|None|NR|NR|||||WQ|USGS_NatFieldMan|SCPRMD||Water_Grab|38.419582|-122.564102172852|Individual Collection by hand|0000-00-00|Not Applicable|FieldAcidified|2018-04-03 09:31:00|None|1950-01-01|2018-04-03|1||CALTEST|CALTEST|A|||||||||||||||||Sonoma|97|San Francisco Bay|2|||||||NULL|206SON32b
Clean Streams in S. SoCo Pathogen Source Detection Monitoring Program|Clean Streams in S. SoCo Pathogen Source Detection|Clean Streams S. SoCo Pathogens 2017-18 wet season|Nathanson Creek at north boundary of SVHS|206NAT040|2018-04-03|13:18:00|Bank|0.1|m|Grab|1|1|Caltest_BML14619_W_BAC|T040020015|samplewater|SM 9223 B|Coliform, Total|MPN/100 mL|2419.6||1|1|>|None|NR|NR|||||WQ|USGS_NatFieldMan|SCPRMD||Water_Grab|38.283493|-122.45629119873|Individual Collection by hand|0000-00-00|Not Applicable|FieldAcidified|2018-04-03 13:18:00|None|1950-01-01|2018-04-03|1||CALTEST|CALTEST|A|||||||||||||||||Sonoma|97|San Francisco Bay|2|||||||NULL|206NAT040
Clean Streams in S. SoCo Pathogen Source Detection Monitoring Program|Clean Streams in S. SoCo Pathogen Source Detection|Clean Streams S. SoCo Pathogens 2017-18 wet season|Nathanson Creek at north boundary of SVHS|206NAT040|2018-04-03|13:18:00|Bank|0.1|m|Grab|1|1|Caltest_BML14619_W_BAC|T040020015|samplewater|SM 9223 B|E. coli|MPN/100 mL|225.4||1|1|=|None|NR|NR|||||WQ|USGS_NatFieldMan|SCPRMD||Water_Grab|38.283493|-122.45629119873|Individual Collection by hand|0000-00-00|Not Applicable|FieldAcidified|2018-04-03 13:18:00|None|1950-01-01|2018-04-03|1||CALTEST|CALTEST|A|||||||||||||||||Sonoma|97|San Francisco Bay|2|||||||NULL|206NAT040
Clean Streams in S. SoCo Pathogen Source Detection Monitoring Program|Clean Streams in S. SoCo Pathogen Source Detection|Clean Streams S. SoCo Pathogens 2017-18 wet season|Nathanson Creek at south boundary of AHMS|206NAT035|2018-04-03|13:02:00|Bank|0.1|m|Grab|1|1|Caltest_BML14619_W_BAC|T040020014|samplewater|SM 9223 B|Coliform, Total|MPN/100 mL|2419.6||1|1|>|None|NR|NR|||||WQ|USGS_NatFieldMan|SCPRMD||Water_Grab|38.279045|-122.456977844238|Individual Collection by hand|0000-00-00|Not Applicable|FieldAcidified|2018-04-03 13:02:00|None|1950-01-01|2018-04-03|1||CALTEST|CALTEST|A|||||||||||||||||Sonoma|97|San Francisco Bay|2|||||||NULL|206NAT035
Clean Streams in S. SoCo Pathogen Source Detection Monitoring Program|Clean Streams in S. SoCo Pathogen Source Detection|Clean Streams S. SoCo Pathogens 2017-18 wet season|Nathanson Creek at Watmaugh just west of 5th Street|206NAT010|2018-04-03|12:40:00|Bank|0.1|m|Grab|1|1|Caltest_BML14619_W_BAC|T040020012|samplewater|SM 9223 B|E. coli|MPN/100 mL|141.4||1|1|=|None|NR|NR|||||WQ|USGS_NatFieldMan|SCPRMD||Water_Grab|38.264568|-122.453063964844|Individual Collection by hand|0000-00-00|Not Applicable|FieldAcidified|2018-04-03 12:40:00|None|1950-01-01|2018-04-03|1||CALTEST|CALTEST|A|||||||||||||||||Sonoma|97|San Francisco Bay|2|||||||NULL|206NAT010
Clean Streams in S. SoCo Pathogen Source Detection Monitoring Program|Clean Streams in S. SoCo Pathogen Source Detection|Clean Streams S. SoCo Pathogens 2017-18 wet season|Sonoma Creek @ Watmaugh Road Bridge|206SON020|2018-04-03|12:08:00|Bank|0.1|m|Grab|1|1|Caltest_BML14619_W_BAC|T040020010|samplewater|SM 9223 B|E. coli|MPN/100 mL|122.2||1|1|=|None|NR|NR|||||WQ|USGS_NatFieldMan|SCPRMD||Water_Grab|38.265751|-122.46736907959|Individual Collection by hand|0000-00-00|Not Applicable|FieldAcidified|2018-04-03 12:08:00|None|1950-01-01|2018-04-03|1||CALTEST|CALTEST|A|||||||||||||||||Sonoma|97|San Francisco Bay|2|||||Lower Sonoma Creek|180500020303|NULL|206SON020
Clean Streams in S. SoCo Pathogen Source Detection Monitoring Program|Clean Streams in S. SoCo Pathogen Source Detection|Clean Streams S. SoCo Pathogens 2017-18 wet season|Sonoma Creek at Aqua Caliente|206SON011|2018-04-03|11:33:00|Bank|0.1|m|Grab|1|1|Caltest_BML14619_W_BAC|T040020008|samplewater|SM 9223 B|E. coli|MPN/100 mL|275.5||1|1|=|None|NR|NR|||||WQ|USGS_NatFieldMan|SCPRMD||Water_Grab|38.322876|-122.494567871094|Individual Collection by hand|0000-00-00|Not Applicable|FieldAcidified|2018-04-03 11:33:00|None|1950-01-01|2018-04-03|1||CALTEST|CALTEST|A|||||||||||||||||Sonoma|97|San Francisco Bay|2|||||||NULL|206SON011
Clean Streams in S. SoCo Pathogen Source Detection Monitoring Program|Clean Streams in S. SoCo Pathogen Source Detection|Clean Streams S. SoCo Pathogens 2017-18 wet season|Sonoma Creek at Cypress Ave|206SONCYP|2018-04-03|09:52:00|Bank|0.1|m|Grab|1|1|Caltest_BML14619_W_BAC|T040020002|samplewater|SM 9223 B|E. coli|MPN/100 mL|129.6||1|1|=|None|NR|NR|||||WQ|USGS_NatFieldMan|SCPRMD||Water_Grab|38.412170|-122.553718566895|Individual Collection by hand|0000-00-00|Not Applicable|FieldAcidified|2018-04-03 09:52:00|None|1950-01-01|2018-04-03|1||CALTEST|CALTEST|A|||||||||||||||||Sonoma|97|San Francisco Bay|2|||||||NULL|206SONCYP
Clean Streams in S. SoCo Pathogen Source Detection Monitoring Program|Clean Streams in S. SoCo Pathogen Source Detection|Clean Streams S. SoCo Pathogens 2017-18 wet season|Sonoma Creek at Glen Allen|206SON160|2018-04-03|10:52:00|Bank|0.1|m|Grab|1|1|Caltest_BML14619_W_BAC|T040020006|samplewater|SM 9223 B|E. coli|MPN/100 mL|75.9||1|1|=|None|NR|NR|||||WQ|USGS_NatFieldMan|SCPRMD||Water_Grab|38.363762|-122.526168823242|Individual Collection by hand|0000-00-00|Not Applicable|FieldAcidified|2018-04-03 10:52:00|None|1950-01-01|2018-04-03|1||CALTEST|CALTEST|A|||||||||||||||||Sonoma|97|San Francisco Bay|2|||||||NULL|206SON160
Clean Streams in S. SoCo Pathogen Source Detection Monitoring Program|Clean Streams in S. SoCo Pathogen Source Detection|Clean Streams S. SoCo Pathogens 2017-18 wet season|Sonoma Creek at Maxwell Park|206SON050|2018-04-03|11:49:00|Bank|0.1|m|Grab|1|1|Caltest_BML14619_W_BAC|T040020009|samplewater|SM 9223 B|Coliform, Total|MPN/100 mL|2419.6||1|1|>|None|NR|NR|||||WQ|USGS_NatFieldMan|SCPRMD||Water_Grab|38.298401|-122.481201171875|Individual Collection by hand|0000-00-00|Not Applicable|FieldAcidified|2018-04-03 11:49:00|None|1950-01-01|2018-04-03|1||CALTEST|CALTEST|A|||||||||||||||||Sonoma|97|San Francisco Bay|2|||||||NULL|206SON050
Clean Streams in S. SoCo Pathogen Source Detection Monitoring Program|Clean Streams in S. SoCo Pathogen Source Detection|Clean Streams S. SoCo Pathogens 2017-18 wet season|Sonoma Creek at Yulupa Creek|206SON190|2018-04-03|10:23:00|Bank|0.1|m|Grab|1|1|Caltest_BML14619_W_BAC|T040020004|samplewater|SM 9223 B|Coliform, Total|MPN/100 mL|2419.6||1|1|>|None|NR|NR|||||WQ|USGS_NatFieldMan|SCPRMD||Water_Grab|38.379192|-122.552688598633|Individual Collection by hand|0000-00-00|Not Applicable|FieldAcidified|2018-04-03 10:23:00|None|1950-01-01|2018-04-03|1||CALTEST|CALTEST|A|||||||||||||||||Sonoma|97|San Francisco Bay|2|||||||NULL|206SON190
Clean Streams in S. SoCo Pathogen Source Detection Monitoring Program|Clean Streams in S. SoCo Pathogen Source Detection|Clean Streams S. SoCo Pathogens 2017-18 wet season|Sonoma Creek at Yulupa Creek|206SON190|2018-04-03|10:23:00|Bank|0.1|m|Grab|1|1|Caltest_BML14619_W_BAC|T040020004|samplewater|SM 9223 B|E. coli|MPN/100 mL|172.3||1|1|=|None|NR|NR|||||WQ|USGS_NatFieldMan|SCPRMD||Water_Grab|38.379192|-122.552688598633|Individual Collection by hand|0000-00-00|Not Applicable|FieldAcidified|2018-04-03 10:23:00|None|1950-01-01|2018-04-03|1||CALTEST|CALTEST|A|||||||||||||||||Sonoma|97|San Francisco Bay|2|||||||NULL|206SON190
Clean Streams in S. SoCo Pathogen Source Detection Monitoring Program|Clean Streams in S. SoCo Pathogen Source Detection|Clean Streams S. SoCo Pathogens 2017-18 wet season|Nathanson Creek at Nathanson Park|206NAT030|2018-04-03|12:53:00|Bank|0.1|m|Grab|1|1|Caltest_BML14619_W_BAC|T040020013|samplewater|SM 9223 B|E. coli|MPN/100 mL|290.9||1|1|=|None|NR|NR|||||WQ|USGS_NatFieldMan|SCPRMD||Water_Grab|38.278599|-122.457481384277|Individual Collection by hand|0000-00-00|Not Applicable|FieldAcidified|2018-04-03 12:53:00|None|1950-01-01|2018-04-03|1||CALTEST|CALTEST|A|||||||||||||||||Sonoma|97|San Francisco Bay|2|||||||NULL|206NAT030
Clean Streams in S. SoCo Pathogen Source Detection Monitoring Program|Clean Streams in S. SoCo Pathogen Source Detection|Clean Streams S. SoCo Pathogens 2017-18 wet season|Nathanson Creek at south boundary of AHMS|206NAT035|2018-04-03|13:02:00|Bank|0.1|m|Grab|1|1|Caltest_BML14619_W_BAC|T040020014|samplewater|SM 9223 B|E. coli|MPN/100 mL|290.9||1|1|=|None|NR|NR|||||WQ|USGS_NatFieldMan|SCPRMD||Water_Grab|38.279045|-122.456977844238|Individual Collection by hand|0000-00-00|Not Applicable|FieldAcidified|2018-04-03 13:02:00|None|1950-01-01|2018-04-03|1||CALTEST|CALTEST|A|||||||||||||||||Sonoma|97|San Francisco Bay|2|||||||NULL|206NAT035
Clean Streams in S. SoCo Pathogen Source Detection Monitoring Program|Clean Streams in S. SoCo Pathogen Source Detection|Clean Streams S. SoCo Pathogens 2017-18 wet season|Nathanson Creek at Watmaugh just west of 5th Street|206NAT010|2018-04-03|12:40:00|Bank|0.1|m|Grab|1|1|Caltest_BML14619_W_BAC|T040020012|samplewater|SM 9223 B|Coliform, Total|MPN/100 mL|1723.9||1|1|=|None|NR|NR|||||WQ|USGS_NatFieldMan|SCPRMD||Water_Grab|38.264568|-122.453063964844|Individual Collection by hand|0000-00-00|Not Applicable|FieldAcidified|2018-04-03 12:40:00|None|1950-01-01|2018-04-03|1||CALTEST|CALTEST|A|||||||||||||||||Sonoma|97|San Francisco Bay|2|||||||NULL|206NAT010
Clean Streams in S. SoCo Pathogen Source Detection Monitoring Program|Clean Streams in S. SoCo Pathogen Source Detection|Clean Streams S. SoCo Pathogens 2017-18 wet season|Schell Creek at Hwy 121|206SCH009|2018-04-03|12:25:00|Bank|0.1|m|Grab|1|1|Caltest_BML14619_W_BAC|T040020011|samplewater|SM 9223 B|Coliform, Total|MPN/100 mL|1553.1||1|1|=|None|NR|NR|||||WQ|USGS_NatFieldMan|SCPRMD||Water_Grab|38.246250|-122.435081481934|Individual Collection by hand|0000-00-00|Not Applicable|FieldAcidified|2018-04-03 12:25:00|None|1950-01-01|2018-04-03|1||CALTEST|CALTEST|A|||||||||||||||||Sonoma|97|San Francisco Bay|2|||||||NULL|206SCH009
Clean Streams in S. SoCo Pathogen Source Detection Monitoring Program|Clean Streams in S. SoCo Pathogen Source Detection|Clean Streams S. SoCo Pathogens 2017-18 wet season|Sonoma Creek at 3910 Warm Springs Road, Glen Ellen 95442|206SON180|2018-04-03|10:35:00|Bank|0.1|m|Grab|1|1|Caltest_BML14619_W_BAC|T040020005|samplewater|SM 9223 B|Coliform, Total|MPN/100 mL|2419.6||1|1|>|None|NR|NR|||||WQ|USGS_NatFieldMan|SCPRMD||Water_Grab|38.370338|-122.539505004883|Individual Collection by hand|0000-00-00|Not Applicable|FieldAcidified|2018-04-03 10:35:00|None|1950-01-01|2018-04-03|1||CALTEST|CALTEST|A|||||||||||||||||Sonoma|97|San Francisco Bay|2|||||||NULL|206SON180
Clean Streams in S. SoCo Pathogen Source Detection Monitoring Program|Clean Streams in S. SoCo Pathogen Source Detection|Clean Streams S. SoCo Pathogens 2017-18 wet season|Sonoma Creek at 986 Warm Springs Road|206SON210|2018-04-03|10:07:00|Bank|0.1|m|Grab|1|1|Caltest_BML14619_W_BAC|T040020003|samplewater|SM 9223 B|Coliform, Total|MPN/100 mL|2419.6||1|1|>|None|NR|NR|||||WQ|USGS_NatFieldMan|SCPRMD||Water_Grab|38.404919|-122.550971984863|Individual Collection by hand|0000-00-00|Not Applicable|FieldAcidified|2018-04-03 10:07:00|None|1950-01-01|2018-04-03|1||CALTEST|CALTEST|A|||||||||||||||||Sonoma|97|San Francisco Bay|2|||||||NULL|206SON210
Clean Streams in S. SoCo Pathogen Source Detection Monitoring Program|Clean Streams in S. SoCo Pathogen Source Detection|Clean Streams S. SoCo Pathogens 2017-18 wet season|Sonoma Creek at Cypress Ave|206SONCYP|2018-04-03|09:52:00|Bank|0.1|m|Grab|1|1|Caltest_BML14619_W_BAC|T040020002|samplewater|SM 9223 B|Coliform, Total|MPN/100 mL|2419.6||1|1|>|None|NR|NR|||||WQ|USGS_NatFieldMan|SCPRMD||Water_Grab|38.412170|-122.553718566895|Individual Collection by hand|0000-00-00|Not Applicable|FieldAcidified|2018-04-03 09:52:00|None|1950-01-01|2018-04-03|1||CALTEST|CALTEST|A|||||||||||||||||Sonoma|97|San Francisco Bay|2|||||||NULL|206SONCYP
